Full Date,Weighted Drought Score,Dow_Date,Dow_Open,Dow_High,Dow_Low,Dow_Close,Dow_Avg Vol,Dow_Adj Close*,Unemployment,pew-congress-poll-date,pew-congress-approve,pew-congress-disapprove
11/1/08,35.057,3-Nov-08,"9,326.04","9,653.95","7,449.38","8,829.04","337,810,000","8,829.04",6.8,,,
12/1/08,33.2044,1-Dec-08,"8,826.89","9,026.41","8,118.50","8,776.39","269,483,100","8,776.39",7.3,,,
1/1/09,33.517,2-Jan-09,"8,772.25","9,088.06","7,909.03","8,000.86","328,257,000","8,000.86",7.8,1/11/09,39,52
2/1/09,34.6595,2-Feb-09,"8,000.62","8,315.07","7,033.62","7,062.93","410,647,800","7,062.93",8.3,,,
3/1/09,42.772,2-Mar-09,"7,056.48","7,931.33","6,469.95","7,608.92","498,222,700","7,608.92",8.7,,,
4/1/09,39.882,1-Apr-09,"7,606.13","8,307.51","7,483.87","8,168.12","387,490,400","8,168.12",9,4/21/09,49,43
5/1/09,39.247,1-May-09,"8,167.41","8,591.93","8,099.31","8,500.33","354,815,000","8,500.33",9.4,,,
6/1/09,37.2932,1-Jun-09,"8,501.53","8,877.93","8,259.43","8,447.00","261,700,900","8,447.00",9.5,,,
7/1/09,37.066,1-Jul-09,"8,447.53","9,246.43","8,087.19","9,171.61","234,905,000","9,171.61",9.5,,,
8/1/09,36.874,3-Aug-09,"9,173.65","9,630.20","9,116.52","9,496.28","202,086,100","9,496.28",9.6,8/27/09,37,52
9/1/09,36.142,1-Sep-09,"9,492.32","9,917.99","9,252.93","9,712.28","226,041,400","9,712.28",9.8,,,
10/1/09,41.098,1-Oct-09,"9,711.60","10,119.47","9,430.08","9,712.73","249,051,300","9,712.73",10,,,
11/1/09,42.7585,2-Nov-09,"9,712.13","10,495.61","9,678.95","10,344.84","201,856,500","10,344.84",9.9,,,
12/1/09,44.3344,1-Dec-09,"10,343.82","10,580.33","10,235.63","10,428.05","3,108,800","10,428.05",9.9,,,
1/1/10,49.449,4-Jan-10,"10,430.69","10,729.89","10,043.75","10,067.33","249,557,800","10,067.33",9.8,,,
2/1/10,67.59,1-Feb-10,"10,068.99","10,438.55","9,835.09","10,325.26","240,093,600","10,325.26",9.8,2/9/10,41,50
3/1/10,69.6872,1-Mar-10,"10,326.10","10,955.48","10,326.10","10,856.63","199,373,400","10,856.63",9.9,,,
4/1/10,70.171,1-Apr-10,"10,857.31","11,258.01","10,844.09","11,008.61","213,937,100","11,008.61",9.9,,,
5/1/10,72.5535,3-May-10,"11,009.60","11,177.67","9,774.48","10,136.63","292,470,500","10,136.63",9.6,,,
6/1/10,75.436,1-Jun-10,"10,133.94","10,594.16","9,753.84","9,774.02","235,307,700","9,774.02",9.4,,,
7/1/10,75.8945,1-Jul-10,"9,773.27","10,584.99","9,614.32","10,465.94","211,975,200","10,465.94",9.4,,,
8/1/10,75.424,2-Aug-10,"10,468.82","10,719.94","9,936.62","10,014.72","198,771,300","10,014.72",9.5,,,
